"","x"
"CL0000192",8
"CL0000192.1",8
"CL0000192.2",8
"CL0000192.3",8
"CL0000192.4",8
"CL0000192.5",8
"CL0000192.6",8
"CL0000192.7",8
"CL0000192.8",8
"CL0000192.9",8
"CL0000192.10",8
"CL0000192.11",8
"CL0000192.12",8
"CL0000192.13",8
"CL0000192.14",8
"CL0000192.15",8
"CL0000192.16",8
"CL0000192.17",8
"CL0000192.18",8
"CL0000192.19",8
"CL0000192.20",8
"CL0000192.21",8
"CL0000192.22",8
"CL0000192.23",8
"CL0000192.24",8
"CL0000192.25",8
"CL0000192.26",8
"CL0000192.27",8
"CL0000192.28",8
"CL0000192.29",8
"CL0000192.30",8
"CL0000192.31",8
"CL0000192.32",8
"CL0000192.33",8
"CL0000192.34",8
"CL0000192.35",8
"CL0000192.36",8
"CL0000192.37",8
"CL0000192.38",8
"CL0000192.39",8
"CL0000192.40",8
"CL0000192.41",8
"CL0000192.42",8
"CL0000192.43",8
"CL0000192.44",8
"CL0000192.45",8
"CL0000192.46",8
"CL0000192.47",8
"CL0000192.48",8
"CL0000192.49",8
"CL0000192.50",8
"CL0000192.51",8
"CL0000192.52",8
"CL0000192.53",8
"CL0000192.54",8
"CL0000192.55",8
"CL0000192.56",8
"CL0000192.57",8
"CL0000192.58",8
"CL0000192.59",8
"CL0000192.60",8
"CL0000192.61",8
"CL0000192.62",8
"CL0000192.63",8
"CL0000192.64",8
"CL0000192.65",8
"CL0000192.66",8
"CL0000192.67",8
"CL0000192.68",8
"CL0000192.69",8
"CL0000192.70",8
"CL0000192.71",8
"CL0000192.72",8
"CL0000192.73",8
"CL0000192.74",8
"CL0000192.75",8
"CL0000192.76",8
"CL0000192.77",8
"CL0000192.78",8
"CL0000192.79",8
"CL0000192.80",8
"CL0000192.81",8
"CL0000192.82",8
"CL0000192.83",8
"CL0000192.84",8
"CL0000192.85",8
"CL0000192.86",8
"CL0000192.87",8
"CL0000192.88",8
"CL0000192.89",8
"CL0000192.90",8
"CL0000192.91",8
"CL0000192.92",8
"CL0000192.93",8
"CL0000192.94",8
"CL0000192.95",8
"CL0000192.96",8
"CL0000192.97",8
"CL0000192.98",8
"CL0000192.99",8
"CL0000192.100",8
"CL0000192.101",8
"CL0000192.102",8
"CL0000192.103",8
"CL0000192.104",8
"CL0000192.105",8
"CL0000192.106",8
"CL0000192.107",8
"CL0000192.108",8
"CL0000192.109",8
"CL0000192.110",8
"CL0000192.111",8
"CL0000192.112",8
"CL0000192.113",8
"CL0000192.114",8
"CL0000192.115",8
"CL0000192.116",8
"CL0000192.117",8
"CL0000192.118",8
"CL0000192.119",8
"CL0000192.120",8
"CL0000192.121",8
"CL0000192.122",8
"CL0000192.123",8
"CL0000192.124",8
"CL0000192.125",8
"CL0000192.126",8
"CL0000192.127",8
"CL0000192.128",8
"CL0000192.129",8
"CL0000192.130",8
"CL0000192.131",8
"CL0000192.132",8
"CL0000192.133",8
"CL0000192.134",8
"CL0000192.135",8
"CL0000192.136",8
"CL0000192.137",8
"CL0000192.138",8
"CL0000192.139",8
"CL0000192.140",8
"CL0000192.141",8
"CL0000192.142",8
"CL0000192.143",8
"CL0000192.144",8
"CL0000192.145",8
"CL0000192.146",8
"CL0000192.147",8
"CL0000192.148",8
"CL0000192.149",8
"CL0000192.150",8
"CL0000192.151",8
"CL0000192.152",8
"CL0000192.153",8
"CL0000192.154",8
"CL0000192.155",8
"CL0000192.156",8
"CL0000192.157",8
"CL0000192.158",8
"CL0000192.159",8
"CL0000192.160",8
"CL0000192.161",8
"CL0000192.162",8
"CL0000192.163",8
"CL0000192.164",8
"CL0000192.165",8
"CL0000192.166",8
"CL0000192.167",8
"CL0000192.168",8
"CL0000192.169",8
"CL0000192.170",8
"CL0000192.171",8
"CL0000192.172",8
"CL0000192.173",8
"CL0000192.174",8
"CL0000192.175",8
"CL0000192.176",8
"CL0000192.177",8
"CL0000192.178",8
"CL0000192.179",8
"CL0000192.180",8
"CL0000192.181",8
"CL0000192.182",8
"CL0000192.183",8
"CL0000192.184",8
"CL0000192.185",8
"CL0000192.186",8
"CL0000192.187",8
"CL0000192.188",8
"CL0000192.189",8
"CL0000192.190",8
"CL0000192.191",8
"CL0000192.192",8
"CL0000192.193",8
"CL0000192.194",8
"CL0000192.195",8
"CL0000192.196",8
"CL0000192.197",8
"CL0000192.198",8
"CL0000192.199",8
"CL0000192.200",8
"CL0000192.201",8
"CL0000192.202",8
"CL0000192.203",8
"CL0000192.204",8
"CL0000192.205",8
"CL0000192.206",8
"CL0000192.207",8
"CL0000192.208",8
"CL0000192.209",8
"CL0000192.210",8
"CL0000192.211",8
"CL0000192.212",8
"CL0000192.213",8
"CL0000192.214",8
"CL0000192.215",8
"CL0000192.216",8
"CL0000192.217",8
"CL0000192.218",8
"CL0000192.219",8
"CL0000192.220",8
"CL0000192.221",8
"CL0000192.222",8
"CL0000192.223",8
"CL0000192.224",8
"CL0000192.225",8
"CL0000192.226",8
"CL0000192.227",8
"CL0000192.228",8
"CL0000192.229",8
"CL0000192.230",8
"CL0000192.231",8
"CL0000192.232",8
"CL0000192.233",8
"CL0000192.234",8
"CL0000192.235",8
"CL0000192.236",8
"CL0000192.237",8
"CL0000192.238",8
"CL0000192.239",8
"CL0000192.240",8
"CL0000192.241",8
"CL0000192.242",8
"CL0000192.243",8
"CL0000192.244",8
"CL0000192.245",8
"CL0000192.246",8
"CL0000192.247",8
"CL0000192.248",8
"CL0000192.249",8
"CL0000192.250",8
"CL0000192.251",8
"CL0000192.252",8
"CL0000192.253",8
"CL0000192.254",8
"CL0000192.255",8
"CL0000192.256",8
"CL0000192.257",8
"CL0000192.258",8
"CL0000192.259",8
"CL0000192.260",8
"CL0000192.261",8
"CL0000192.262",8
"CL0000192.263",8
"CL0000192.264",8
"CL0000192.265",8
"CL0000192.266",8
"CL0000192.267",8
"CL0000192.268",8
"CL0000192.269",8
"CL0000192.270",8
"CL0000192.271",8
"CL0000192.272",8
"CL0000192.273",8
"CL0000192.274",8
"CL0000192.275",8
"CL0000192.276",8
"CL0000192.277",8
"CL0000192.278",8
"CL0000192.279",8
"CL0000192.280",8
"CL0000192.281",8
"CL0000192.282",8
"CL0000192.283",8
"CL0000192.284",8
"CL0000192.285",8
"CL0000192.286",8
"CL0000192.287",8
"CL0000192.288",8
"CL0000192.289",8
"CL0000192.290",8
"CL0000192.291",8
"CL0000192.292",8
"CL0000192.293",8
"CL0000192.294",8
"CL0000192.295",8
"CL0000192.296",8
"CL0000192.297",8
"CL0000192.298",8
"CL0000192.299",8
"CL0000192.300",8
"CL0000192.301",8
"CL0000192.302",8
"CL0000192.303",8
"CL0000192.304",8
"CL0000192.305",8
"CL0000192.306",8
"CL0000192.307",8
"CL0000192.308",8
"CL0000192.309",8
"CL0000192.310",8
"CL0000192.311",8
"CL0000192.312",8
"CL0000192.313",8
"CL0000192.314",8
"CL0000192.315",8
"CL0000192.316",8
"CL0000192.317",8
"CL0000192.318",8
"CL0000192.319",8
"CL0000192.320",8
"CL0000192.321",8
"CL0000192.322",8
"CL0000192.323",8
"CL0000192.324",8
"CL0000192.325",8
"CL0000192.326",8
"CL0000192.327",8
"CL0000192.328",8
"CL0000192.329",8
"CL0000192.330",8
"CL0000192.331",8
"CL0000192.332",8
"CL0000192.333",8
"CL0000192.334",8
"CL0000192.335",8
"CL0000192.336",8
"CL0000192.337",8
"CL0000192.338",8
"CL0000192.339",8
"CL0000192.340",8
"CL0000192.341",8
"CL0000192.342",8
"CL0000192.343",8
"CL0000192.344",8
"CL0000192.345",8
"CL0000192.346",8
"CL0000192.347",8
"CL0000192.348",8
"CL0000192.349",8
"CL0000192.350",8
"CL0000192.351",8
"CL0000192.352",8
"CL0000192.353",8
"CL0000192.354",8
"CL0000192.355",8
"CL0000192.356",8
"CL0000192.357",8
"CL0000192.358",8
"CL0000192.359",8
"CL0000192.360",8
"CL0000192.361",8
"CL0000192.362",8
"CL0000192.363",8
"CL0000192.364",8
"CL0000192.365",8
"CL0000192.366",8
"CL0000192.367",8
"CL0000192.368",8
"CL0000192.369",8
"CL0000192.370",8
"CL0000192.371",8
"CL0000192.372",8
"CL0000192.373",8
"CL0000192.374",8
"CL0000192.375",8
"CL0000192.376",8
"CL0000192.377",8
"CL0000192.378",8
"CL0000192.379",8
"CL0000192.380",8
"CL0000192.381",8
"CL0000192.382",8
"CL0000192.383",8
"CL0000192.384",8
"CL0000192.385",8
"CL0000192.386",8
"CL0000192.387",8
"CL0000192.388",8
"CL0000192.389",8
"CL0000192.390",8
"CL0000192.391",8
"CL0000192.392",8
"CL0000192.393",8
"CL0000192.394",8
"CL0000192.395",8
"CL0000192.396",8
"CL0000192.397",8
"CL0000192.398",8
"CL0000192.399",8
"CL0000192.400",8
"CL0000192.401",8
"CL0000192.402",8
"CL0000192.403",8
"CL0000192.404",8
"CL0000192.405",8
"CL0000192.406",8
"CL0000192.407",8
"CL0000192.408",8
"CL0000192.409",8
"CL0000192.410",8
"CL0000192.411",8
"CL0000192.412",8
"CL0000192.413",8
"CL0000192.414",8
"CL0000192.415",8
"CL0000192.416",8
"CL0000192.417",8
"CL0000192.418",8
"CL0000192.419",8
"CL0000192.420",8
"CL0000192.421",8
"CL0000192.422",8
"CL0000192.423",8
"CL0000192.424",8
"CL0000192.425",8
"CL0000192.426",8
"CL0000192.427",8
"CL0000192.428",8
"CL0000192.429",8
"CL0000192.430",8
"CL0000192.431",8
"CL0000192.432",8
"CL0000192.433",8
"CL0000192.434",8
"CL0000192.435",8
"CL0000192.436",8
"CL0000192.437",8
"CL0000192.438",8
"CL0000192.439",8
"CL0000192.440",8
"CL0000192.441",8
"CL0000192.442",8
"CL0000192.443",8
"CL0000192.444",8
"CL0000192.445",8
"CL0000192.446",8
"CL0000192.447",8
"CL0000192.448",8
"CL0000192.449",8
"CL0000192.450",8
"CL0000192.451",8
"CL0000192.452",8
"CL0000192.453",8
"CL0000192.454",8
"CL0000192.455",8
"CL0000192.456",8
"CL0000192.457",8
"CL0000192.458",8
"CL0000192.459",8
"CL0000192.460",8
"CL0000192.461",8
"CL0000192.462",8
"CL0000192.463",8
"CL0000192.464",8
"CL0000192.465",8
"CL0000192.466",8
"CL0000192.467",8
"CL0000192.468",8
"CL0000192.469",8
"CL0000192.470",8
"CL0000192.471",8
"CL0000192.472",8
"CL0000192.473",8
"CL0000192.474",8
"CL0000192.475",8
"CL0000192.476",8
"CL0000192.477",8
"CL0000192.478",8
"CL0000192.479",8
"CL0000192.480",8
"CL0000192.481",8
"CL0000192.482",8
"CL0000192.483",8
"CL0000192.484",8
"CL0000192.485",8
"CL0000192.486",8
"CL0000192.487",8
"CL0000192.488",8
"CL0000192.489",8
"CL0000192.490",8
"CL0000192.491",8
"CL0000192.492",8
"CL0000192.493",8
"CL0000192.494",8
"CL0000192.495",8
"CL0000192.496",8
"CL0000192.497",8
"CL0000192.498",8
"CL0000192.499",8
"CL0000192.500",8
"CL0000192.501",8
"CL0000192.502",8
"CL0000192.503",8
"CL0000192.504",8
"CL0000192.505",8
"CL0000192.506",8
"CL0000192.507",8
"CL0000192.508",8
"CL0000192.509",8
"CL0000192.510",8
"CL0000192.511",8
"CL0000192.512",8
"CL0000192.513",8
"CL0000192.514",8
"CL0000192.515",8
"CL0000192.516",8
"CL0000192.517",8
"CL0000192.518",8
"CL0000192.519",8
"CL0000192.520",8
"CL0000192.521",8
"CL0000192.522",8
"CL0000192.523",8
"CL0000192.524",8
"CL0000192.525",8
"CL0000192.526",8
"CL0000192.527",8
"CL0000192.528",8
"CL0000192.529",8
"CL0000192.530",8
"CL0000192.531",8
"CL0000192.532",8
"CL0000192.533",8
"CL0000192.534",8
"CL0000192.535",8
"CL0000192.536",8
"CL0000192.537",8
"CL0000192.538",8
"CL0000192.539",8
"CL0000192.540",8
"CL0000192.541",8
"CL0000192.542",8
"CL0000192.543",8
"CL0000192.544",8
"CL0000192.545",8
"CL0000192.546",8
"CL0000192.547",8
