"","x"
"CL0000192.290",96
"CL0000192.291",107
"CL0000192.292",97
"CL0000192.293",96
"CL0000192.294",96
"CL0000192.295",96
"CL0000192.296",97
"CL0000192.297",97
"CL0000192.298",97
"CL0000192.299",96
"CL0000192.300",97
"CL0000192.301",96
"CL0000192.302",96
"CL0000192.303",96
"CL0000192.304",96
"CL0000192.305",117
"CL0000192.306",97
"CL0000192.307",97
"CL0000192.308",96
"CL0000192.309",97
"CL0000192.310",96
"CL0000192.311",96
"CL0000192.312",96
"CL0000192.313",97
"CL0000192.314",96
"CL0000192.315",97
"CL0000192.316",96
"CL0000192.317",96
"CL0000192.318",96
"CL0000192.319",96
"CL0000192.320",96
"CL0000192.321",96
"CL0000192.322",97
"CL0000192.323",97
"CL0000192.324",97
"CL0000192.325",97
"CL0000192.326",96
"CL0000192.327",96
"CL0000192.328",97
"CL0000192.329",96
"CL0000192.330",97
"CL0000192.331",96
"CL0000192.332",97
"CL0000192.333",117
"CL0000192.334",96
"CL0000192.335",96
"CL0000192.336",97
"CL0000192.337",96
"CL0000192.338",106
"CL0000192.339",102
"CL0000192.340",108
"CL0000192.341",107
"CL0000192.342",105
"CL0000192.343",105
"CL0000192.344",110
"CL0000192.345",109
"CL0000192.346",107
"CL0000192.347",102
"CL0000192.348",106
"CL0000192.349",98
"CL0000192.350",106
"CL0000192.351",107
"CL0000192.352",105
"CL0000192.353",102
"CL0000192.354",99
"CL0000192.355",105
"CL0000192.356",99
"CL0000192.357",107
"CL0000192.358",107
"CL0000192.359",99
"CL0000192.360",109
"CL0000192.361",99
"CL0000192.362",106
"CL0000192.363",116
"CL0000192.364",100
"CL0000192.365",101
"CL0000192.366",102
"CL0000192.367",106
"CL0000192.368",106
"CL0000192.369",107
"CL0000192.370",116
"CL0000192.371",106
"CL0000192.372",99
"CL0000192.373",105
"CL0000192.374",106
"CL0000192.375",103
"CL0000192.376",102
"CL0000192.377",98
"CL0000192.378",102
"CL0000192.379",108
"CL0000192.380",102
"CL0000192.381",104
"CL0000192.382",106
"CL0000192.383",98
"CL0000192.384",109
"CL0000192.385",105
"CL0000192.386",98
"CL0000192.387",100
"CL0000192.388",99
"CL0000192.389",99
"CL0000192.390",99
"CL0000192.391",106
"CL0000192.392",107
"CL0000192.393",106
"CL0000192.394",99
"CL0000192.395",99
"CL0000192.396",102
"CL0000192.397",106
"CL0000192.398",100
"CL0000192.399",106
"CL0000192.400",106
"CL0000192.401",99
"CL0000192.402",110
"CL0000192.403",106
"CL0000192.404",98
"CL0000192.405",107
"CL0000192.406",110
"CL0000192.407",100
"CL0000192.408",99
"CL0000192.409",107
"CL0000192.410",101
"CL0000192.411",99
"CL0000192.412",105
"CL0000192.413",98
"CL0000192.414",107
"CL0000192.415",100
"CL0000192.416",100
"CL0000192.417",106
"CL0000192.418",98
"CL0000192.419",102
"CL0000192.420",109
"CL0000192.421",100
"CL0000192.422",107
"CL0000192.423",106
"CL0000192.424",99
"CL0000192.425",105
"CL0000192.426",107
"CL0000192.427",106
"CL0000192.428",102
"CL0000192.429",104
"CL0000192.430",98
"CL0000192.431",102
"CL0000192.432",99
"CL0000192.433",98
"CL0000192.434",98
"CL0000192.435",105
"CL0000192.436",104
"CL0000192.437",99
"CL0000192.438",106
"CL0000192.439",100
"CL0000192.440",99
"CL0000192.441",99
"CL0000192.442",105
"CL0000192.443",107
"CL0000192.444",99
"CL0000192.445",98
"CL0000192.446",106
"CL0000192.447",107
"CL0000192.448",106
"CL0000192.449",99
"CL0000192.450",107
"CL0000192.451",116
"CL0000192.452",106
"CL0000192.453",99
"CL0000192.454",107
"CL0000192.455",103
"CL0000192.456",100
"CL0000192.457",107
"CL0000192.458",112
"CL0000192.459",99
"CL0000192.460",98
"CL0000192.461",99
"CL0000192.462",99
"CL0000192.463",105
"CL0000192.464",98
"CL0000192.465",106
"CL0000192.466",102
"CL0000192.467",106
"CL0000192.468",106
"CL0000192.469",106
"CL0000192.470",112
"CL0000192.471",102
"CL0000192.472",116
"CL0000192.473",98
"CL0000192.474",106
"CL0000192.475",106
"CL0000192.476",105
"CL0000192.477",98
"CL0000192.478",106
"CL0000192.479",106
"CL0000192.480",107
"CL0000192.481",101
"CL0000192.482",104
"CL0000192.483",106
"CL0000192.484",99
"CL0000192.485",110
"CL0000192.486",102
"CL0000192.487",106
"CL0000192.488",98
"CL0000192.489",100
"CL0000192.490",106
"CL0000192.491",99
"CL0000192.492",99
"CL0000192.493",106
"CL0000192.494",99
"CL0000192.495",106
"CL0000192.496",106
"CL0000192.497",109
"CL0000192.498",106
"CL0000192.499",107
"CL0000192.500",102
"CL0000192.501",102
"CL0000192.502",99
"CL0000192.503",98
"CL0000192.504",99
"CL0000192.505",100
"CL0000192.506",102
"CL0000192.507",107
"CL0000192.508",107
"CL0000192.509",102
"CL0000192.510",99
"CL0000192.511",99
"CL0000192.512",106
"CL0000192.513",98
"CL0000192.514",105
"CL0000192.515",99
"CL0000192.516",112
"CL0000192.517",106
"CL0000192.518",108
"CL0000192.519",99
"CL0000192.520",102
"CL0000192.521",106
"CL0000192.522",106
"CL0000192.523",102
"CL0000192.524",109
"CL0000192.525",98
"CL0000192.526",100
"CL0000192.527",106
"CL0000192.528",98
"CL0000192.529",99
"CL0000192.530",105
"CL0000192.531",106
"CL0000192.532",107
"CL0000192.533",99
"CL0000192.534",104
"CL0000192.535",98
"CL0000192.536",103
"CL0000192.537",98
"CL0000192.538",99
"CL0000192.539",108
"CL0000192.540",105
"CL0000192.541",106
"CL0000192.542",99
"CL0000192.543",104
"CL0000192.544",104
"CL0000192.545",99
"CL0000192.546",107
"CL0000192.547",99
"CL0000192.548",99
"CL0000192.549",103
"CL0000192.550",103
"CL0000192.551",106
"CL0000192.552",106
"CL0000192.553",98
"CL0000192.554",106
"CL0000192.555",107
"CL0000192.556",103
"CL0000192.557",100
"CL0000192.558",109
"CL0000192.559",102
"CL0000192.560",107
"CL0000192.561",99
"CL0000192.562",107
"CL0000192.563",100
"CL0000192.564",102
"CL0000192.565",100
"CL0000192.566",110
"CL0000192.567",99
"CL0000192.568",98
"CL0000192.569",99
"CL0000192.570",106
"CL0000192.571",100
"CL0000192.572",107
"CL0000192.573",104
"CL0000192.574",105
"CL0000192.575",99
"CL0000192.576",109
"CL0000192.577",106
"CL0000192.578",105
"CL0000192.579",106
"CL0000192.580",116
"CL0000192.581",98
"CL0000192.582",106
"CL0000192.583",106
"CL0000192.584",106
"CL0000192.585",99
"CL0000192.586",106
"CL0000192.587",106
"CL0000192.588",98
"CL0000192.589",106
"CL0000192.590",99
"CL0000192.591",100
"CL0000192.592",107
"CL0000192.593",102
"CL0000192.594",99
"CL0000192.595",102
"CL0000192.596",100
"CL0000192.597",107
"CL0000192.598",106
"CL0000192.599",99
"CL0000192.600",106
"CL0000192.601",100
"CL0000192.602",100
"CL0000192.603",98
"CL0000192.604",107
"CL0000192.605",106
"CL0000192.606",98
"CL0000192.607",106
"CL0000192.608",106
"CL0000192.609",109
"CL0000192.610",98
"CL0000192.611",106
"CL0000192.612",101
"CL0000192.613",99
"CL0000192.614",99
"CL0000192.615",98
"CL0000192.616",106
"CL0000192.617",106
"CL0000192.618",101
"CL0000192.619",99
"CL0000192.620",112
"CL0000192.621",109
"CL0000192.622",106
"CL0000192.623",106
"CL0000192.624",106
"CL0000192.625",100
"CL0000192.626",110
"CL0000192.627",99
"CL0000192.628",99
"CL0000192.629",104
"CL0000192.630",106
"CL0000192.631",100
